timestamp,x,y,z
38212.549,4.6,-0.1,-7.5
38212.639,4.6,-0.2,-7.8
38212.806,4.7,-0.3,-8.1
38212.893,4.7,-0.3,-7.8
38212.97,4.7,-0.1,-8.0
38213.059,4.7,-0.4,-7.8
38213.134,4.8,-0.1,-8.0
38213.222,5.0,-0.5,-8.2
38213.297,4.8,0.0,-8.2
38213.389,4.9,0.0,-7.8
38213.466,4.8,-0.3,-7.6
38213.554,4.8,-0.3,-8.0
38213.629,4.7,-0.3,-8.3
38213.719,4.7,-0.2,-8.1
38213.801,4.7,-0.2,-8.1
38213.887,4.8,-0.3,-7.8
38213.961,4.8,-0.4,-7.7
38214.051,4.8,-0.3,-8.0
38214.143,4.7,-0.2,-7.7
38214.213,4.7,-0.1,-8.0
38214.303,4.8,-0.2,-7.9
38214.377,4.9,-0.1,-8.1
38214.47,4.8,-0.3,-8.2
38214.542,4.7,-0.0,-7.9
38214.634,4.9,-0.0,-8.0
38214.712,4.7,-0.2,-7.9
38214.798,4.6,0.0,-8.1
38214.873,4.9,-0.2,-8.2
38214.965,4.6,0.0,-8.3
38215.04,4.6,-0.2,-8.1
38215.129,5.0,-0.3,-8.1
38215.294,4.6,-0.1,-8.0
38215.383,4.9,-0.0,-7.8
38215.459,5.0,-0.6,-7.9
38215.55,4.7,-0.3,-8.0
38215.624,4.4,-0.3,-7.8
38215.712,4.6,-0.3,-7.9
38215.79,4.6,-0.4,-8.0
38215.877,4.8,-0.3,-8.1
38215.954,5.0,-0.3,-8.0
38216.044,5.0,-0.2,-8.2
38216.119,4.7,-0.0,-8.3
38216.213,4.7,-0.1,-8.2
38216.284,4.7,-0.3,-8.1
38216.374,4.7,-0.1,-8.2
38216.448,4.6,-0.3,-7.9
38216.542,4.8,-0.5,-7.9
38216.629,4.8,-0.3,-7.9
38216.705,4.7,-0.2,-8.1
38216.796,4.7,-0.4,-8.1
38216.873,4.8,-0.3,-8.3
38216.961,4.5,-0.2,-8.2
38217.036,4.5,-0.4,-8.1
38217.126,4.4,-0.5,-7.8
38217.201,4.4,-0.0,-8.4
38217.291,4.7,-0.1,-8.0
38217.368,4.6,0.1,-8.1
38217.462,4.7,0.1,-7.5
38217.533,4.5,0.1,-7.5
38217.62,4.5,0.4,-7.8
38217.695,4.5,0.4,-7.8
38217.786,4.7,0.0,-8.2
38217.861,4.4,0.0,-8.1
38217.951,4.6,0.2,-8.3
38218.039,4.6,0.1,-7.8
38218.117,4.9,0.2,-8.1
38218.208,4.8,0.1,-7.8
38218.28,4.5,0.2,-7.9
38218.371,4.9,0.1,-8.0
38218.444,4.7,0.2,-8.2
38218.535,4.9,0.2,-7.8
38218.61,4.6,0.1,-8.2
38218.697,4.7,0.5,-8.0
38218.774,4.7,0.4,-8.2
38218.863,4.5,0.4,-8.0
38218.94,4.7,0.3,-7.7
38219.029,4.6,0.0,-8.1
38219.105,4.7,0.1,-8.1
38219.197,4.5,0.2,-7.9
38219.272,4.5,0.2,-8.2
38219.362,4.9,0.0,-8.2
38219.452,4.5,0.5,-8.3
38219.523,4.6,0.4,-8.0
38219.616,4.0,0.3,-8.6
38219.689,3.5,0.1,-8.7
38219.783,2.7,0.1,-8.5
38219.857,2.4,-0.1,-9.3
38219.944,2.5,-0.2,-9.2
